1 require request
2 request|Fri Apr 12 2013 00:14:35 GMT+0800 (CST)|GET|111.161.55.156|"Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1)"|http://www.17597.net/
3 request|Fri Apr 12 2013 00:29:23 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
4 request|Fri Apr 12 2013 00:29:25 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
5 request|Fri Apr 12 2013 00:29:27 GMT+0800 (CST)|GET|110.75.174.51|YisouSpider|undefined
6 request|Fri Apr 12 2013 00:29:28 GMT+0800 (CST)|GET|110.75.174.49|YisouSpider|undefined
7 request|Fri Apr 12 2013 00:29:29 GMT+0800 (CST)|GET|110.75.174.53|YisouSpider|undefined
8 request|Fri Apr 12 2013 00:29:30 GMT+0800 (CST)|GET|110.75.174.54|YisouSpider|undefined
9 request|Fri Apr 12 2013 00:29:33 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
10 request|Fri Apr 12 2013 00:29:34 GMT+0800 (CST)|GET|110.75.174.52|YisouSpider|undefined
11 request|Fri Apr 12 2013 00:29:35 GMT+0800 (CST)|GET|110.75.174.51|YisouSpider|undefined
12 request|Fri Apr 12 2013 00:29:38 GMT+0800 (CST)|GET|110.75.174.49|YisouSpider|undefined
13 request|Fri Apr 12 2013 00:39:25 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
14 request|Fri Apr 12 2013 00:39:26 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
15 request|Fri Apr 12 2013 00:39:27 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
16 request|Fri Apr 12 2013 00:39:27 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
17 request|Fri Apr 12 2013 00:39:28 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
18 request|Fri Apr 12 2013 00:39:29 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
19 request|Fri Apr 12 2013 00:39:29 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
20 request|Fri Apr 12 2013 00:39:30 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
21 request|Fri Apr 12 2013 04:23:48 GMT+0800 (CST)|GET|123.125.244.216|Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; iCafeMedia; .NET CLR 2.0.50727; CIBA)|undefined
22 request|Fri Apr 12 2013 05:45:37 GMT+0800 (CST)|GET|218.30.116.99|Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; Tablet PC 2.0)|http://www.17597.net/
23 request|Fri Apr 12 2013 05:49:07 GMT+0800 (CST)|GET|218.5.72.149|Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.1 (KHTML, like Gecko) Chrome/21.0.1180.60 Safari/537.1|undefined
24 request|Fri Apr 12 2013 06:08:38 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
25 request|Fri Apr 12 2013 06:08:39 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
26 request|Fri Apr 12 2013 06:08:39 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
27 request|Fri Apr 12 2013 06:08:40 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
28 request|Fri Apr 12 2013 06:08:40 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
29 request|Fri Apr 12 2013 06:08:41 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
30 request|Fri Apr 12 2013 06:08:41 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
31 request|Fri Apr 12 2013 06:08:42 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
32 request|Fri Apr 12 2013 06:39:23 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
33 request|Fri Apr 12 2013 06:39:24 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
34 request|Fri Apr 12 2013 06:39:24 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
35 request|Fri Apr 12 2013 06:39:25 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
36 request|Fri Apr 12 2013 06:39:25 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
37 request|Fri Apr 12 2013 06:39:26 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
38 request|Fri Apr 12 2013 06:39:26 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
39 request|Fri Apr 12 2013 06:39:27 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
40 request|Fri Apr 12 2013 07:06:43 GMT+0800 (CST)|GET|61.128.186.253|Mozilla/5.0 (Windows; U; Windows NT 5.1; rv:1.7.3) Gecko/20041001 Firefox/0.10.1|undefined
41 request|Fri Apr 12 2013 07:22:10 GMT+0800 (CST)|GET|1.202.219.136|Mozilla/5.0 ()|undefined
42 request|Fri Apr 12 2013 08:55:35 GMT+0800 (CST)|GET|110.178.150.31|Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 2.0.50727; 360space)|undefined
43 request|Fri Apr 12 2013 09:27:43 GMT+0800 (CST)|GET|1.202.219.138|Mozilla/5.0 ()|undefined
44 request|Fri Apr 12 2013 09:32:28 GMT+0800 (CST)|GET|202.108.130.138|Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0|undefined
45 request|Fri Apr 12 2013 09:32:30 GMT+0800 (CST)|GET|202.108.130.138|Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0|http://17597.net/
46 request|Fri Apr 12 2013 09:32:30 GMT+0800 (CST)|GET|202.108.130.138|Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0|http://17597.net/
47 request|Fri Apr 12 2013 09:32:30 GMT+0800 (CST)|GET|202.108.130.138|Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0|http://17597.net/
48 request|Fri Apr 12 2013 09:32:35 GMT+0800 (CST)|GET|202.108.130.138|Mozilla/5.0 (Windows NT 5.1; rv:19.0) Gecko/20100101 Firefox/19.0|http://17597.net/
49 request|Fri Apr 12 2013 10:18:33 GMT+0800 (CST)|GET|182.118.44.106|Mozilla/5.0 (Windows NT 6.1) AppleWebKit/535.19 (KHTML, like Gecko) Chrome/18.0.1025.168 Safari/535.19|undefined
50 request|Fri Apr 12 2013 12:32:18 GMT+0800 (CST)|GET|123.62.6.15|Mozilla/4.0 (compatible; MSIE 6.1; Windows NT)|undefined
51 request|Fri Apr 12 2013 13:01:42 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
52 request|Fri Apr 12 2013 13:01:43 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
53 request|Fri Apr 12 2013 13:01:43 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
54 request|Fri Apr 12 2013 13:01:44 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
55 request|Fri Apr 12 2013 13:01:44 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
56 request|Fri Apr 12 2013 13:01:45 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
57 request|Fri Apr 12 2013 13:01:45 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
58 request|Fri Apr 12 2013 13:01:46 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
59 request|Fri Apr 12 2013 13:18:28 GMT+0800 (CST)|GET|220.181.51.141|Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1)|http://www.baidu.com/s?wd=site%3Awww.17597.net
60 request|Fri Apr 12 2013 15:30:41 GMT+0800 (CST)|GET|109.134.74.107|Mozilla/5.0 (Windows NT 6.1; rv:15.0) Gecko/20120716 Firefox/15.0a2|undefined
61 request|Fri Apr 12 2013 15:30:41 GMT+0800 (CST)|GET|109.134.74.107|Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US))|undefined
62 request|Fri Apr 12 2013 15:30:42 GMT+0800 (CST)|GET|109.134.74.107|Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0)|undefined
63 request|Fri Apr 12 2013 15:32:23 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
64 request|Fri Apr 12 2013 15:32:24 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
65 request|Fri Apr 12 2013 15:32:25 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
66 request|Fri Apr 12 2013 15:32:25 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
67 request|Fri Apr 12 2013 15:32:27 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
68 request|Fri Apr 12 2013 15:32:29 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
69 request|Fri Apr 12 2013 15:32:29 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
70 request|Fri Apr 12 2013 15:32:30 GMT+0800 (CST)|GET|188.165.228.9|undefined|undefined
71 request|Fri Apr 12 2013 17:35:21 GMT+0800 (CST)|GET|1.202.219.138|Mozilla/5.0 ()|undefined
72 request|Fri Apr 12 2013 18:10:03 GMT+0800 (CST)|GET|180.76.5.195|Mozilla/5.0 (Windows NT 5.1; rv:6.0.2) Gecko/20100101 Firefox/6.0.2|undefined
73 request|Fri Apr 12 2013 20:47:25 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
74 request|Fri Apr 12 2013 20:47:30 GMT+0800 (CST)|GET|110.75.174.210|YisouSpider|undefined
75 request|Fri Apr 12 2013 20:47:32 GMT+0800 (CST)|GET|110.75.174.52|YisouSpider|undefined
76 request|Fri Apr 12 2013 20:47:36 GMT+0800 (CST)|GET|110.75.174.51|YisouSpider|undefined
77 request|Fri Apr 12 2013 20:47:39 GMT+0800 (CST)|GET|110.75.174.49|YisouSpider|undefined
78 request|Fri Apr 12 2013 20:47:42 GMT+0800 (CST)|GET|110.75.174.53|YisouSpider|undefined
79 request|Fri Apr 12 2013 20:47:46 GMT+0800 (CST)|GET|110.75.174.54|YisouSpider|undefined
80 request|Fri Apr 12 2013 20:47:50 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
81 request|Fri Apr 12 2013 20:53:04 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
82 request|Fri Apr 12 2013 20:53:11 GMT+0800 (CST)|GET|110.75.174.52|YisouSpider|undefined
83 request|Fri Apr 12 2013 20:57:30 GMT+0800 (CST)|GET|110.75.174.50|YisouSpider|undefined
84 request|Fri Apr 12 2013 21:22:55 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|undefined
85 request|Fri Apr 12 2013 21:22:59 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|http://17597.net/
86 request|Fri Apr 12 2013 21:22:59 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|http://17597.net/
87 request|Fri Apr 12 2013 21:22:59 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|http://17597.net/
88 request|Fri Apr 12 2013 21:22:59 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|undefined
89 request|Fri Apr 12 2013 21:23:00 GMT+0800 (CST)|GET|114.66.9.54|Mozilla/5.0 (Windows NT 5.1; rv:16.0) Gecko/20100101 Firefox/16.0|undefined
